Code,Name,Further Link
0101,Mathematical Sciences,
0103,Physics and Astronomy,
0105,Chemical Sciences,
0107,Earth Sciences,
0109,Biological Sciences,
0199,Other Natural and Physical Sciences,
01,Natural and Physical Sciences,
010100,Mathematical Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/A994D58F2B4763E7CA256AAF001FCA7D?opendocument
010101,Mathematics,
010103,Statistics,
010199,Mathematical Sciences n.e.c.,
010300,Physics and Astronomy,http://www.abs.gov.au/ausstats/abs@.nsf/0/4F7DE5E2AC9A28B1CA256AAF001FCA7E?opendocument
010301,Physics,
010303,Astronomy,
010500,Chemical Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/17FCD71CB27BF87CCA256AAF001FCA7F?opendocument
010501,Organic Chemistry,
010503,Inorganic Chemistry,
010599,Chemical Sciences n.e.c.,
010700,Earth Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/EC1BD5722CCD3364CA256AAF001FCA80?opendocument
010701,Atmospheric Sciences,
010703,Geology,
010705,Geophysics,
010707,Geochemistry,
010709,Soil Science,
010711,Hydrology,
010713,Oceanography,
010799,Earth Sciences n.e.c.,
010900,Biological Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/6C21D9543AD174E4CA256AAF001FCA81?opendocument
010901,Biochemistry and Cell Biology,
010903,Botany,
010905,Ecology and Evolution,
010907,Marine Science,
010909,Genetics,
010911,Microbiology,
010913,Human Biology,
010915,Zoology,
010999,Biological Sciences n.e.c.,
019900,Other Natural & Phys. Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/6F2294CC09E9BB1FCA256AAF001FCA82?opendocument
019901,Medical Science,
019903,Forensic Science,
019905,Food Science and Biotechnology,
019907,Pharmacology,
019909,Laboratory Technology,
019999,Natural & Phys. Sciences n.e.c.,
0201,Computer Science,
0203,Information Systems,
0299,Other information technology,
02,Information Technology,
020100,Computer Science,http://www.abs.gov.au/ausstats/abs@.nsf/0/A053B5F962D23045CA256AAF001FCA83?opendocument
020101,Formal Language Theory,
020103,Programming,
020105,Computational Theory,
020107,Compiler Construction,
020109,Algorithms,
020111,Data Structures,
020113,Networks and Communications,
020115,Computer Graphics,
020117,Operating Systems,
020119,Artificial Intelligence,
020199,Computer Science n.e.c.,
020300,Information Systems,http://www.abs.gov.au/ausstats/abs@.nsf/0/E11E10504E56AB58CA256AAF001FCA84?opendocument
020301,Conceptual Modelling,
020303,Database Management,
020305,Systems Analysis and Design,
020307,Decision Support Systems,
020399,Information Systems n.e.c.,
029900,Other Information Technology,http://www.abs.gov.au/ausstats/abs@.nsf/0/9E1712BA4B1B5348CA256AAF001FCA85?opendocument
029901,Security Science,
029999,Information Technology n.e.c.,
0301,Manufacturing Engineering and Technology,
0303,Process and Resources Engineering,
0305,Automotive Engineering and Technology,
0307,Mechanical and Industrial Engineering and Technology,
0309,Civil Engineering,
0311,Geomatic Engineering,
0313,Electrical and Electronic Engineering and Technology,
0315,Aerospace Engineering and Technology,
0317,Maritime Engineering and Technology,
0399,Other Engineering and Related Technologies,
03,Engineering and Related Technologies,
030100,Manufact. Eng. & Technology,http://www.abs.gov.au/ausstats/abs@.nsf/0/81EB7F702C1CA4FBCA256AAF001FCA86?opendocument
030101,Manufacturing Engineering,
030103,Printing,
030105,Textile Making,
030107,Garment Making,
030109,Footwear Making,
030111,Wood Machining and Turning,
030113,Cabinet Making,
030115,Furniture Upholstery/Renovation,
030117,Furniture Polishing,
030199,Manufact. Eng. & Technology n.e.c.,
030300,Process & Resources Eng.,http://www.abs.gov.au/ausstats/abs@.nsf/0/5691D6DF0FC73CC6CA256AAF001FCA87?opendocument
030301,Chemical Engineering,
030303,Mining Engineering,
030305,Materials Engineering,
030307,Food Processing Technology,
030399,Process & Resources Eng. n.e.c.,
030500,Automotive Eng. & Technology,http://www.abs.gov.au/ausstats/abs@.nsf/0/32BE716D4538AC2DCA256AAF001FCA88?opendocument
030501,Automotive Engineering,
030503,Vehicle Mechanics,
030505,Automotive Electrics & Electronic,
030507,Automotive Vehicle Refinishing,
030509,Automotive Body Construction,
030511,Panel Beating,
030513,Upholstery & Vehicle Trimming,
030515,Automotive Vehicle Operations,
030599,Automotive Eng.& Technology n.e.c.,
030700,Mechn. & Ind. Eng. & Technology,http://www.abs.gov.au/ausstats/abs@.nsf/0/25802B84DF185144CA256AAF001FCA89?opendocument
030701,Mechanical Engineering,
030703,Industrial Engineering,
030705,Toolmaking,
030707,Metal Fitting,
030709,Sheetmetal Working,
030711,Boilermaking and Welding,
030713,Metal Casting & Patternmaking,
030715,Precision Metalworking,
030717,Plant and Machine Operations,
030799,Mechn. Ind. Eng.&Technology n.e.c.,
030900,Civil Engineering,http://www.abs.gov.au/ausstats/abs@.nsf/0/7F0D954BE028C488CA256AAF001FCA8A?opendocument
030901,Construction Engineering,
030903,Structural Engineering,
030905,Building Services Engineering,
030907,Water & Sanitary Engineering,
030909,Transport Engineering,
030911,Geotechnical Engineering,
030913,Ocean Engineering,
030999,Civil Engineering n.e.c.,
031100,Geomatic Engineering,http://www.abs.gov.au/ausstats/abs@.nsf/0/EFB26DD430679621CA256AAF001FCA8B?opendocument
031101,Surveying,
031103,Mapping Science,
031199,Geomatic Engineering n.e.c.,
031300,Electrical & Electronic Eng & Techn,http://www.abs.gov.au/ausstats/abs@.nsf/0/57C4023B6EAC971BCA256AAF001FCA8C?opendocument
031301,Electrical Engineering,
031303,Electronic Engineering,
031305,Computer Engineering,
031307,Communications Technologies,
031309,Comm. Equipment Install.&Maint.,
031311,Powerline Installation & Maint.,
031313,Electrical Fitting,
031315,Refrigeration&Air Cond. Mechn.,
031317,Electronic Equipment Servicing,
031399,Elect&Electronic Eng&Techn n.e.c.,
031500,Aerospace Eng. & Technology,http://www.abs.gov.au/ausstats/abs@.nsf/0/17A962B5431158BACA256AAF001FCA8D?opendocument
031501,Aerospace Engineering,
031503,Aircraft Maintenance Eng.,
031505,Aircraft Operation,
031507,Air Traffic Control,
031599,Aerospace Eng. & Technology n.e.c.,
031700,Maritime Eng. & Technology,http://www.abs.gov.au/ausstats/abs@.nsf/0/5F814FA3869B9CEFCA256AAF001FCA8F?opendocument
031701,Maritime Engineering,
031703,Maritime Construction,
031705,Marine Craft Operation,
031799,Maritime Eng. & Technology n.e.c.,
039900,Other Eng. & Related Techn.,http://www.abs.gov.au/ausstats/abs@.nsf/0/EBAF1AFEABDF0997CA256AAF001FCA8E?opendocument
039901,Environmental Engineering,
039903,Biomedical Engineering,
039905,Fire Technology,
039907,Rail Operations,
039909,Cleaning,
039999,Other Eng. & Related Techn. n.e.c.,
0401,Architecture and urban environment,
0403,Building,
04,Architecture and Building,
040100,Architecture & Urban Environment,http://www.abs.gov.au/ausstats/abs@.nsf/0/E9B03F96E5161E3FCA256AAF001FCA90?opendocument
040101,Architecture,
040103,Urban Design & Reg. Planning,
040105,Landscape Architecture,
040107,Interior & Environ. Design,
040199,Architecture&Urban Environ n.e.c.,
040300,Building,http://www.abs.gov.au/ausstats/abs@.nsf/0/D21DA7CAE4CD6890CA256AAF001FCA91?opendocument
040301,Building Science and Technology,
040303,Building Constr. Management,
040305,Building Surveying,
040307,Building Construction Economics,
040309,Bricklaying and Stonemasonary,
040311,Carpentry and Joinery,
040313,Ceiling,
040315,Roof Fixing,
040317,Plastering,
040319,Furnishing Installation,
040321,Floor Covering,
040323,Glazing,
040325,Painting,
040327,Plumbing,
040329,Scaffolding & Rigging,
040399,Building n.e.c.,
0501,Agriculture,
0503,Horticulture and Viticulture,
0505,Forestry Studies,
0507,Fisheries Studies,
0509,Environmental Studies,
0599,Other Agriculture, Environmental and Related Studies,
05,Agriculture, Environmental and Related Studies,
050100,Agriculture,
050101,Agricultural Sciences,
050103,Wool Sciences,
050105,Animal Husbandry,
050199,Agriculture n.e.c.,
050300,Horticulture and Viticulture,http://www.abs.gov.au/ausstats/abs@.nsf/0/641C1077F9DB4AA0CA256AAF001FCA93?opendocument
050301,Horticulture,
050303,Viticulture,
050500,Forestry Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/432F8CB9BF6D0E64CA256AAF001FCA94?opendocument
050501,Forestry Studies,
050700,Fisheries Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/BE0A807FCAF034EECA256AAF001FCA95?opendocument
050701,Aquaculture,
050799,Fisheries Studies n.e.c.,
050900,Environmental Studies,http://www.abs.gov.au/ausstats/abs@.nsf/0/D0F555473A019FBCCA256AAF001FCA96?opendocument
050901,Land,
050999,Environmental Studies n.e.c.,
059900,Other Agriculture, Environmental and Related Studies,http://www.abs.gov.au/ausstats/abs@.nsf/0/B2A9D5E6FB6F01DBCA256AAF001FCA97?opendocument
059901,Pest & Weed Control,
059999,Agriculture, Environmental and Related Studies n.e.c.,
0601,Medical Studies,
0603,Nursing,
0605,Pharmacy,
0607,Dental Studies,
0609,Optical Science,
0611,Veterinary Studies,
0613,Public Health,
0615,Radiography,
0617,Rehabilitation Therapies,
0619,Complementary Therapies,
0699,Other Health,
06,Health,
060100,Medical Studies,http://www.abs.gov.au/ausstats/abs@.nsf/0/1CD34A13FCBB068CCA256AAF001FCA98?opendocument
060101,General Medicine,
060103,Surgery,
060105,Psychiatry,
060107,Obstetrics & Gynaecology,
060109,Paediatrics,
060111,Anaesthesiology,
060113,Pathology,
060115,Radiology,
060117,Internal Medicine,
060119,General Practice,
060199,Medical Studies n.e.c.,
060300,Nursing,http://www.abs.gov.au/ausstats/abs@.nsf/0/EA29EEE125298A25CA256AAF001FCA99?opendocument
060301,General Nursing,
060303,Midwifery,
060305,Mental Health Nursing,
060307,Community Nursing,
060309,Critical Care Nursing,
060311,Aged Care Nursing,
060313,Palliative Care Nursing,
060315,Mother.Nur&Fam&ChildHealthNurs,
060399,Nursing n.e.c.,
060500,Pharmacy,http://www.abs.gov.au/ausstats/abs@.nsf/0/52A0DA296A1CC0D9CA256AAF001FCA9A?opendocument
060501,Pharmacy,
060700,Dental Studies,http://www.abs.gov.au/ausstats/abs@.nsf/0/A7F3B010E3941B20CA256AAF001FCA9B?opendocument
060701,Dentistry,
060703,Dental Assisting,
060705,Dental Technology,
060799,Dental Studies n.e.c.,
060900,Optical Science,http://www.abs.gov.au/ausstats/abs@.nsf/0/7977D98FFB221C97CA256AAF001FCA9C?opendocument
060901,Optometry,
060903,Optical Technology,
060999,Optical Sciences n.e.c.,
061100,Veterinary Studies,http://www.abs.gov.au/ausstats/abs@.nsf/0/4E075ABE862068ADCA256AAF001FCA9D?opendocument
061101,Veterinary Science,
061103,Veterinary Assisting,
061199,Veterinary Studies n.e.c.,
061300,Public Health,http://www.abs.gov.au/ausstats/abs@.nsf/0/1E18DFB4D4AFC957CA256AAF001FCA9E?opendocument
061301,Occupational Health & Safety,
061303,Environmental Health,
061305,Indigenous Health,
061307,Health Promotion,
061309,Community Health,
061311,Epidemiology,
061399,Public Health n.e.c.,
061500,Radiography,http://www.abs.gov.au/ausstats/abs@.nsf/0/5E9F6A97828811FBCA256AAF001FCA9F?opendocument
061501,Radiography,
061700,Rehabilitation Therapies,http://www.abs.gov.au/ausstats/abs@.nsf/0/DE3341F1D2B22D28CA256AAF001FCAA0?opendocument
061701,Physiotherapy,
061703,Occupational Therapy,
061705,Chiropractic & Osteopathy,
061707,Speech Pathology,
061709,Audiology,
061711,Massage Therapy,
061713,Podiatry,
061799,Rehabilitation Therapies n.e.c.,
061900,Complementary Therapies,http://www.abs.gov.au/ausstats/abs@.nsf/0/48AD028F4D786FBFCA256AAF001FCAA1?opendocument
061901,Naturopathy,
061903,Acupuncture,
061905,Traditional Chinese Medicine,
061999,Complementary Therapies n.e.c.,
069900,Other Health,http://www.abs.gov.au/ausstats/abs@.nsf/0/00F95B783D92253CCA256AAF001FCAA2?opendocument
069901,Nutrition & Dietetics,
069903,Human Movement,
069905,Paramedical Studies,
069907,First Aid,
069999,Health n.e.c.,
0701,Teacher Education,
0703,Curriculum and Education Studies,
0799,Other Education,
07,Education,
070100,Teacher Education,http://www.abs.gov.au/ausstats/abs@.nsf/0/E9F30BEAAE5C937CCA256AAF001FCAA3?opendocument
070101,Teacher Ed.: Early Childhood,
070103,Teacher Education: Primary,
070105,Teacher Education: Secondary,
